model,probability,count
gemma-self,0.00,2801
gemma-self,0.01,4
gemma-self,0.10,4
gemma-self,0.12,2
gemma-self,0.30,1
gemma-self,0.50,235
gemma-self,0.51,1
gemma-self,0.54,1
gemma-self,0.56,1
gemma-self,0.90,1
gemma-self,0.98,1
gemma-self,1.00,833
jev-1.13.0,0.01,83
jev-1.13.0,0.02,377
jev-1.13.0,0.03,666
jev-1.13.0,0.04,293
jev-1.13.0,0.05,226
jev-1.13.0,0.06,204
jev-1.13.0,0.07,173
jev-1.13.0,0.08,160
jev-1.13.0,0.09,122
jev-1.13.0,0.10,77
jev-1.13.0,0.11,82
jev-1.13.0,0.12,76
jev-1.13.0,0.13,60
jev-1.13.0,0.14,55
jev-1.13.0,0.15,40
jev-1.13.0,0.16,41
jev-1.13.0,0.17,39
jev-1.13.0,0.18,30
jev-1.13.0,0.19,28
jev-1.13.0,0.20,28
jev-1.13.0,0.21,23
jev-1.13.0,0.22,23
jev-1.13.0,0.23,18
jev-1.13.0,0.24,15
jev-1.13.0,0.25,17
jev-1.13.0,0.26,18
jev-1.13.0,0.27,19
jev-1.13.0,0.28,7
jev-1.13.0,0.29,12
jev-1.13.0,0.30,13
jev-1.13.0,0.31,9
jev-1.13.0,0.32,14
jev-1.13.0,0.33,13
jev-1.13.0,0.34,15
jev-1.13.0,0.35,13
jev-1.13.0,0.36,15
jev-1.13.0,0.37,6
jev-1.13.0,0.38,10
jev-1.13.0,0.39,10
jev-1.13.0,0.40,9
jev-1.13.0,0.41,12
jev-1.13.0,0.42,4
jev-1.13.0,0.43,7
jev-1.13.0,0.44,6
jev-1.13.0,0.45,7
jev-1.13.0,0.46,3
jev-1.13.0,0.47,9
jev-1.13.0,0.48,8
jev-1.13.0,0.49,10
jev-1.13.0,0.50,6
jev-1.13.0,0.51,7
jev-1.13.0,0.52,7
jev-1.13.0,0.53,8
jev-1.13.0,0.54,6
jev-1.13.0,0.55,2
jev-1.13.0,0.56,10
jev-1.13.0,0.57,8
jev-1.13.0,0.58,3
jev-1.13.0,0.59,6
jev-1.13.0,0.60,2
jev-1.13.0,0.61,3
jev-1.13.0,0.62,3
jev-1.13.0,0.63,5
jev-1.13.0,0.64,1
jev-1.13.0,0.65,8
jev-1.13.0,0.66,3
jev-1.13.0,0.67,3
jev-1.13.0,0.68,4
jev-1.13.0,0.69,2
jev-1.13.0,0.70,7
jev-1.13.0,0.71,4
jev-1.13.0,0.72,9
jev-1.13.0,0.73,9
jev-1.13.0,0.74,6
jev-1.13.0,0.75,8
jev-1.13.0,0.76,6
jev-1.13.0,0.77,8
jev-1.13.0,0.78,11
jev-1.13.0,0.79,4
jev-1.13.0,0.80,2
jev-1.13.0,0.81,2
jev-1.13.0,0.82,8
jev-1.13.0,0.83,6
jev-1.13.0,0.84,14
jev-1.13.0,0.85,8
jev-1.13.0,0.86,16
jev-1.13.0,0.87,10
jev-1.13.0,0.88,14
jev-1.13.0,0.89,15
jev-1.13.0,0.90,14
jev-1.13.0,0.91,19
jev-1.13.0,0.92,12
jev-1.13.0,0.93,23
jev-1.13.0,0.94,25
jev-1.13.0,0.95,22
jev-1.13.0,0.96,21
jev-1.13.0,0.97,45
jev-1.13.0,0.98,149
jev-1.13.0,0.99,86
